name,type,座標(經緯度),營業時間
全家金信店,便利商店(全家),"25.033812,121.527498",
全家信美店,便利商店(全家),"25.033018,121.539331",
全家義興店,便利商店(全家),"25.033571,121.544079",
全家義安店,便利商店(全家),"25.032959,121.547266",
全家義和店,便利商店(全家),"25.033721,121.554171",
全家北科店,便利商店(全家),"25.043196,121.536994",
全家建南店,便利商店(全家),"25.041199,121.536914",
全家建國店,便利商店(全家),"25.028687,121.539218",
全家師大店,便利商店(全家),"25.023409,121.528574",
全家泰順店,便利商店(全家),"25.025327,121.531355",
全家台科店,便利商店(全家),"25.013757,121.540597",
全家通和店,便利商店(全家),"25.030322,121.553276",
全家復豪店,便利商店(全家),"25.035224,121.543370",
全家興忠店,便利商店(全家),"25.039691,121.543479",
全家興仁店,便利商店(全家),"25.039088,121.543939",
全家懷生店,便利商店(全家),"25.044151,121.543571",
全家復豐店,便利商店(全家),"25.036645,121.543869",
全家和鑫店,便利商店(全家),"25.021905,121.543194",
全家興和店,便利商店(全家),"25.028416,121.543710",
全家興南店,便利商店(全家),"25.032910,121.543332",
全家新敦民店,便利商店(全家),"25.043633,121.549718",
全家忠孝店,便利商店(全家),"25.042717,121.548158",
全家敦鼎店,便利商店(全家),"25.030195,121.549291",
全家新遠企店,便利商店(全家),"25.025590,121.549089",
全家新生南路店,便利商店(全家),"25.034333,121.532910",
全家新北科店,便利商店(全家),"25.044230,121.533139",
全家大森店,便利商店(全家),"25.034233,121.535966",
全家台新店,便利商店(全家),"25.018821,121.533496",
全家瑞和店,便利商店(全家),"25.026481,121.541701",
全家潮州店,便利商店(全家),"25.029094,121.524341",
全家濟南二店,便利商店(全家),"25.040241,121.533506",
全家臨江店,便利商店(全家),"25.029330,121.556974",
全家古亭店,便利商店(全家),"25.024673,121.524458",
全家羅中店,便利商店(全家),"25.028126,121.521912",
全家羅騰店,便利商店(全家),"25.019054,121.530781",
全家台盛店,便利商店(全家),"25.018358,121.531592",
全家臺福店,便利商店(全家),"25.017049,121.533648",
全家台大舟山店,便利商店(全家),"25.017049,121.533648",
全家台大楓林店,便利商店(全家),"25.017049,121.533648",
全家台一宿舍店,便利商店(全家),"25.017049,121.533648",
全家台大二活店,便利商店(全家),"25.012905,121.536463",
全家民和店,便利商店(全家),"25.026251,121.499845",
全家鑫都店,便利商店(全家),"25.042955,121.505574",
全家昌林店,便利商店(全家),"25.038189,121.500466",
全家萬園店,便利商店(全家),"25.035019,121.499378",
全家金園店,便利商店(全家),"25.031294,121.495164",
全家萬年店,便利商店(全家),"25.043553,121.506211",
全家西寧南路店,便利商店(全家),"25.047748,121.507453",
全家和西店,便利商店(全家),"25.035114,121.494543",
全家昆明店,便利商店(全家),"25.041328,121.504376",
全家成都店,便利商店(全家),"25.042832,121.504662",
全家廣明店,便利商店(全家),"25.039893,121.504263",
全家東園店,便利商店(全家),"25.026087,121.496441",
全家萬東店,便利商店(全家),"25.022403,121.498021",
全家鑫吉利店,便利商店(全家),"25.026846,121.495038",
全家長泰店,便利商店(全家),"25.023228,121.501383",
全家公園店,便利商店(全家),"25.025487,121.503943",
全家日祥店,便利商店(全家),"25.021150,121.502354",
全家新青年店,便利商店(全家),"25.026145,121.506166",
全家新峨嵋店,便利商店(全家),"25.044174,121.504043",
全家萬國店,便利商店(全家),"25.043509,121.507367",
全家桂林店,便利商店(全家),"25.037948,121.505071",
全家康定店,便利商店(全家),"25.040745,121.502188",
全家康陽店,便利商店(全家),"25.039668,121.502026",
全家康勝店,便利商店(全家),"25.042566,121.502300",
全家萬華車站店,便利商店(全家),"25.033550,121.500268",
全家康華店,便利商店(全家),"25.035447,121.501343",
全家新富民店,便利商店(全家),"25.018948,121.499250",
全家貴陽店,便利商店(全家),"25.040123,121.500542",
全家新武成店,便利商店(全家),"25.020386,121.495879",
全家萬大店,便利商店(全家),"25.030998,121.500386",
全家萬武店,便利商店(全家),"25.021173,121.495160",
全家萬明店,便利商店(全家),"25.046114,121.505510",
全家萬中店,便利商店(全家),"25.045322,121.508070",
全家漢中店,便利商店(全家),"25.041718,121.507281",
全家龍廣店,便利商店(全家),"25.036832,121.500410",
全家新廣州店,便利商店(全家),"25.036837,121.498563",
全家園寶店,便利商店(全家),"25.026402,121.491489",
全家環河店,便利商店(全家),"25.033876,121.490723",
全家綠堤店,便利商店(全家),"25.032933,121.492299",
全家環南店,便利商店(全家),"25.031478,121.490648",
全家寶元店,便利商店(全家),"25.027289,121.493322",
全家寶興店,便利商店(全家),"25.026085,121.494186",
全家大道店,便利商店(全家),"25.040795,121.582581",
全家信吉店,便利商店(全家),"25.044996,121.580781",
全家協和店,便利商店(全家),"25.042835,121.583348",
全家新中坡店,便利商店(全家),"25.040642,121.585062",
全家台北１０１店,便利商店(全家),"25.034089,121.563859",
全家厚雅店,便利商店(全家),"25.043129,121.568603",
全家永吉二店,便利商店(全家),"25.045758,121.573965",
全家光復南路店,便利商店(全家),"25.035201,121.557647",
全家復昌店,便利商店(全家),"25.032031,121.557596",
全家松創店,便利商店(全家),"25.043948,121.558136",
